fecha,axn_impression,canal_1_impression,canal_caracol_impression,canal_rcn_impression,cinecanal_impression,citytv_impression,discovery_channel_impression,discovery_home_&_health_impression,espn_impression,food_network_impression,space_impression,star_channel_impression,tnt_impression,tnt_series_impression,teleantioquia_impression,telecafe_impression,telecaribe_impression,telepacifico_impression,warner_impression,axn_spend,canal_1_spend,canal_caracol_spend,canal_rcn_spend,cinecanal_spend,citytv_spend,discovery_channel_spend,discovery_home_&_health_spend,espn_spend,food_network_spend,space_spend,star_channel_spend,tnt_spend,tnt_series_spend,teleantioquia_spend,telecafe_spend,telecaribe_spend,telepacifico_spend,warner_spend,bing_impression,bing_spend,dv360_impression,dv360_spend,facebook_brand_impression,facebook_brand_spend,facebook_credito_impression,facebook_credito_spend,facebook_ecommerce_impression,facebook_ecommerce_spend,facebook_empresarios_impression,facebook_empresarios_spend,facebook_hogar_impression,facebook_hogar_spend,facebook_servicio_impression,facebook_servicio_spend,google_brand_impression,google_brand_spend,google_ecommerce_impression,google_ecommerce_spend,google_servicio_impression,google_servicio_spend,tiktok_impression,tiktok_spend,rrssfacebook_impression,rrssinstagram_impression,rrsstiktok_impression,rrssyoutube_impression,rrssfacebook_spend,rrssinstagram_spend,rrsstiktok_spend,rrssyoutube_spend,cantidad_cocinas,cantidad_lavadoras,cantidad_neveras,conversions,valor_cocinas,valor_lavadoras,valor_neveras,valor_total,revenue_per_conversion,abba_cocina_unidades,abba_cocina_ventas,acros_lavadoras_unidades,acros_lavadoras_ventas,challenger_cocina_unidades,challenger_cocina_ventas,challenger_lavadoras_unidades,challenger_lavadoras_ventas,challenger_neveras_unidades,challenger_neveras_ventas,electrolux_lavadoras_unidades,electrolux_lavadoras_ventas,electrolux_neveras_unidades,electrolux_neveras_ventas,ge profile_neveras_unidades,ge profile_neveras_ventas,haceb_cocina_unidades,haceb_cocina_ventas,haceb_lavadoras_unidades,haceb_lavadoras_ventas,haceb_neveras_unidades,haceb_neveras_ventas,hisense_neveras_unidades,hisense_neveras_ventas,indurama_cocina_unidades,indurama_cocina_ventas,kitchenaid_cocina_unidades,kitchenaid_cocina_ventas,lg_lavadoras_unidades,lg_lavadoras_ventas,lg_neveras_unidades,lg_neveras_ventas,mabe_cocina_unidades,mabe_cocina_ventas,mabe_lavadoras_unidades,mabe_lavadoras_ventas,mabe_neveras_unidades,mabe_neveras_ventas,samsung_lavadoras_unidades,samsung_lavadoras_ventas,samsung_neveras_unidades,samsung_neveras_ventas,superior_cocina_unidades,superior_cocina_ventas,whirlpool_cocina_unidades,whirlpool_cocina_ventas,whirlpool_lavadoras_unidades,whirlpool_lavadoras_ventas,whirlpool_neveras_unidades,whirlpool_neveras_ventas,total_cocina_unidades,total_cocina_ventas,total_neveras_unidades,total_neveras_ventas,total_lavadoras_unidades,total_lavadoras_ventas,centrales_marca_compradas,challenger_marca_compradas,electrolux_marca_compradas,haceb_marca_compradas,icasa_marca_compradas,kalley_marca_compradas,lg_marca_compradas,mabe_marca_compradas,no recuerda_marca_compradas,samsung_marca_compradas,whirlpool_marca_compradas,centrales_marca_proximas_comprar,challenger_marca_proximas_comprar,electrolux_marca_proximas_comprar,haceb_marca_proximas_comprar,icasa_marca_proximas_comprar,kalley_marca_proximas_comprar,lg_marca_proximas_comprar,mabe_marca_proximas_comprar,samsung_marca_proximas_comprar,whirlpool_marca_proximas_comprar,centrales_marca_top_of_heart,challenger_marca_top_of_heart,electrolux_marca_top_of_heart,haceb_marca_top_of_heart,icasa_marca_top_of_heart,kalley_marca_top_of_heart,lg_marca_top_of_heart,mabe_marca_top_of_heart,samsung_marca_top_of_heart,whirlpool_marca_top_of_heart,centrales_recordacion_top_of_mind,challenger_recordacion_top_of_mind,electrolux_recordacion_top_of_mind,haceb_recordacion_top_of_mind,icasa_recordacion_top_of_mind,kalley_recordacion_top_of_mind,lg_recordacion_top_of_mind,mabe_recordacion_top_of_mind,no recuerda_recordacion_top_of_mind,samsung_recordacion_top_of_mind,whirlpool_recordacion_top_of_mind,promotores_btl,48_horas_de_dscto,aniversario_salas,calendario_eventos2_black_days,dcto_linea_premium,descuento_calentadores,descuento_conservacion_de_alimentos,descuento_conservacion_de_alimentos_y_cuidado_del_hogar,descuento_cuidado_del_hogar,especial_calentadores_y_aires,especial_empotre,especial_empotre_y_lavado,especial_empotre_y_refrigeracion,especial_empotre_y_calentadores,especial_refrigeracion_y_menores,especial_de_lavado,feria_de_saldos_y_np,hot_sales,calendario_eventos2_madrugon,marco_promocional_habitual,calendario_eventos2_mega_outlet,por_ser_hogar_haceb,super_martes,calendario_eventos2_super_sale,calendario_eventos2_super_sabado,tecnamorate,aniversario_exito,mega_prima,ddpe,calendario_eventos_black_friday,renueva_tu_hogar,abril_es_una_ganga,agosto_alkosto,aniversario_1,aniversario_2,aniversario_easy,bajo_cero,aniversario_olimpica,evento_patrocinado_bajo_cero,temporada_de_casa,precios_campeones,cumpleanos_homecenter,aniverasrio,electrodomesticos_a_la_fija,easy_cumpleanos,dias_del_ahorro_easy,bajo_cero_olimpiadas,folleto_climatizacion_aires,48_horas_de_descuento,campana_re_hacer,calendario_promos_super_sale,calendario_promos_super_sabado,hot_sale,aniversario_haceb,activacion_experiencia_6_pdv_nacional,feria_de_saldos,super_tuesday,mega_outlet_diciembre,entrega_de_aguas_pepe_sierra,promotoria_moderno,promotoria_especial,promotoria_directo,nps,ins,ces,ventas_call_center,sesiones,population
2023-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88625.0,240344.0,0.0,0.0,19606.0,94118.0,0.0,0.0,0.0,0.0,166723.0,268849.0,116779.0,0.001,125170.0,0.001,11265.0,0.001,88724.0,0.001,0.0,0.0,0.0,2259.0,0.0,0.0,0.0,0.0,540.0,292.0,501.0,1333.0,0.001,0.001,799670333.0,1443968651.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1103521043.0,0.001,1986150072.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1490565049.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1842273306.0,0.001,1991888238.0,0.001,1102639631.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6954198094.0,0.001,6053487390.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,32.0,0.001,0.001,5.0,7974.0,1
2023-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36141.0,176148.0,0.0,0.0,16625.0,95846.0,0.0,0.0,0.0,0.0,152312.0,238942.0,97568.0,0.001,88539.0,0.001,11486.0,0.001,93773.0,0.001,26601.0,2689.0,922.0,2277.0,0.0,0.0,0.0,0.0,559.0,301.0,511.0,1371.0,0.001,0.001,0.001,1515417238.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1103521043.0,0.001,1986150072.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1490565049.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1842273306.0,0.001,1991888238.0,0.001,1102639631.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6954198094.0,0.001,6053487390.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,7.0,0.001,0.001,-2.0,7141.0,1
2023-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,0.0,0.0,0.0,0.0,89700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5272550.0,0.0,0.0,0.0,0.0,3398300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4762.0,161189.0,0.0,0.0,19469.0,86360.0,0.0,0.0,0.0,0.0,141858.0,182453.0,98179.0,0.001,90913.0,0.001,9648.0,0.001,107291.0,0.001,0.0,0.0,0.0,2557.0,0.0,0.0,0.0,0.0,849.0,516.0,892.0,2257.0,0.001,0.001,1408491270.0,2553339717.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1489612554.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1117923787.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1381704979.0,0.001,1493916179.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5215648571.0,0.001,4540115543.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,56.0,0.001,0.001,3.0,6265.0,1
2023-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,145.0,0.0,0.0,75900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620150.0,0.0,3528350.0,0.0,0.0,3519850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13692.0,197515.0,0.0,0.0,22446.0,101822.0,0.0,0.0,0.0,0.0,151821.0,120034.0,104964.0,0.001,78589.0,0.001,11528.0,0.001,110318.0,0.001,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,594.0,323.0,524.0,1441.0,0.001,0.001,0.001,1518642380.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,276311833.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,331181780.0,0.001,2607824285.0,0.001,2270057771.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,39.0,0.001,0.001,0.0,5467.0,1
2023-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,77970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643900.0,0.0,0.0,4126750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26875.0,120521.0,0.0,0.0,0.0,0.0,246147.0,505184.0,12203.0,0.001,90813.0,0.001,8210.0,0.001,200271.0,0.001,0.0,5133.0,10948.0,1966.0,0.0,0.0,0.0,0.0,662.0,409.0,661.0,1732.0,0.001,0.001,1062897274.0,1916806219.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,155490202.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,662112626.0,0.001,1191690043.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1105363983.0,0.001,1195132943.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,303900439.0,0.001,0.001,0.001,0.001,0.001,4172518857.0,0.001,3632092434.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,68.0,0.001,0.001,3.0,8276.0,1
2023-08-29,0.0,366625.0,6880950.0,4912050.0,0.0,0.0,0.0,1350.0,0.0,1885.0,0.0,0.0,15180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13270200.0,33750950.0,14347150.0,0.0,0.0,0.0,3508800.0,0.0,2193000.0,0.0,0.0,2427600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131134.0,90243.0,0.0,0.0,25123.0,125725.0,0.0,0.0,0.0,0.0,301475.0,505864.0,271559.0,0.001,91290.0,0.001,10997.0,0.001,55632.0,50000.0,11354.0,0.0,0.0,90743.0,0.0,0.0,0.0,0.0,711.0,354.0,586.0,1651.0,0.001,455186592.0,0.001,1789907626.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,155490202.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,662112626.0,0.001,1191690043.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1105363983.0,0.001,1195132943.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,303900439.0,0.001,0.001,0.001,0.001,0.001,4172518857.0,0.001,3632092434.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,64.0,0.001,0.001,8.0,8353.0,1
2023-08-30,0.0,110250.0,26527500.0,2484625.0,0.0,0.0,0.0,4995.0,0.0,0.0,10325.0,0.0,16560.0,0.001,40800.0,6150.0,10200.0,5775.0,0.0,0.0,6635100.0,70380850.0,8584150.0,0.0,0.0,0.0,5161200.0,0.0,1920150.0,5896450.0,0.0,1504500.0,4239800.0,2274600.0,633250.0,812600.0,377400.0,0.0,0.0,0.0,0.0,0.0,666760.0,465920.0,0.0,0.0,24453.0,124062.0,0.0,0.0,0.0,0.0,305754.0,444984.0,329450.0,0.001,86662.0,0.001,12258.0,0.001,592773.0,650000.0,15002.0,7559.0,0.0,93330.0,0.0,0.0,0.0,0.0,634.0,519.0,641.0,1794.0,0.001,0.001,1011034914.0,1929721628.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,389361533.0,0.001,0.001,0.001,1588920058.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1192452039.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1473818644.0,0.001,1593510591.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5563358475.0,0.001,4842789912.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,63.0,0.001,0.001,10.0,8085.0,1
2023-08-31,0.001,180250.0,13624200.0,3256825.0,0.0,0.0,0.0,945.0,0.0,290.0,5900.0,0.0,19320.0,0.001,45000.0,2025.0,13000.0,2025.0,0.0,4760850.0,6635100.0,24816600.0,8584150.0,0.0,0.0,0.0,4344350.0,0.0,2193000.0,6716700.0,0.0,2791400.0,4030700.0,2274600.0,633250.0,812600.0,377400.0,0.0,0.0,0.0,2194958.0,0.001,796152.0,535489.0,0.0,0.0,23921.0,132616.0,0.0,0.0,0.0,0.0,295689.0,400367.0,384788.0,0.001,101381.0,0.001,8305.0,0.001,641362.0,653723.0,0.0,0.0,1615.0,64272.0,0.0,0.0,0.0,0.0,825.0,485.0,1150.0,2460.0,0.001,0.001,1822868700.0,2916621384.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1103521043.0,0.001,1986150072.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1490565049.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1842273306.0,0.001,1991888238.0,0.001,1102639631.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6954198094.0,0.001,6053487390.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,85.0,17.0,58.0,0.001,0.001,10.0,8396.0,1
2023-09-01,0.001,0.0,6471900.0,1036750.0,0.0,0.0,0.0,0.0,0.0,0.0,12685.0,0.0,4830.0,9440.0,0.0,0.0,0.0,0.0,0.0,3589550.0,0.0,10307950.0,1869150.0,0.0,0.0,0.0,0.0,0.0,0.0,5422150.0,0.0,1092250.0,3507100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523262.0,0.001,617445.0,334709.0,0.0,0.0,34440.0,122642.0,0.0,0.0,0.0,0.0,217441.0,220664.0,279058.0,0.001,76778.0,0.001,7565.0,0.001,283961.0,225000.0,0.0,7413.0,0.0,48955.0,0.0,0.0,0.0,0.0,1928.0,532.0,2234.0,4694.0,0.001,0.001,3370474412.0,4974178824.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,582070142.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1922132969.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1399668784.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1732465332.0,0.001,1604565551.0,0.001,1221800167.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6707904007.0,0.001,5309026443.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,79.0,16.0,48.0,0.001,0.001,2.0,6771.0,1
2023-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,0.0,145.0,0.0,0.0,12420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580600.0,0.0,821950.0,0.0,0.0,3519850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540467.0,0.001,376960.0,202871.0,0.0,0.0,33247.0,122304.0,0.0,0.0,0.0,0.0,161778.0,105327.0,318061.0,0.001,90989.0,0.001,7805.0,0.001,216762.0,225000.0,12071.0,0.0,0.0,75312.0,0.0,0.0,0.0,0.0,1191.0,605.0,956.0,2752.0,0.001,0.001,1494619405.0,2847100850.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1441599726.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1049751588.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1299348999.0,0.001,1203424164.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5030928006.0,0.001,3981769832.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,79.0,16.0,25.0,0.001,0.001,9.0,6569.0,1
